code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
TAX-NDFL-N1;CL-010;ООО «Импорт Трейд»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
HR-20;CL-010;ООО «Импорт Трейд»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Полный
TAX-NDFL-P1;CL-010;ООО «Импорт Трейд»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SV-P;CL-010;ООО «Импорт Трейд»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Полный
HR-10;CL-001;ООО «Северный Ветер»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Полный
PAY-20;CL-001;ООО «Северный Ветер»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Полный
PAY-30;CL-001;ООО «Северный Ветер»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-NDFL-N2;CL-001;ООО «Северный Ветер»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
TAX-NDFL-P2;CL-001;ООО «Северный Ветер»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SFR-P;CL-001;ООО «Северный Ветер»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Полный
PAY-10;CL-001;ООО «Северный Ветер»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Полный
REP-6NDFL;CL-001;ООО «Северный Ветер»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Полный
REP-RSV;CL-001;ООО «Северный Ветер»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Полный
REP-EFS2;CL-001;ООО «Северный Ветер»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Полный
HR-30;CL-001;ООО «Северный Ветер»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Полный
TAX-NDFL-N1;CL-001;ООО «Северный Ветер»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
HR-20;CL-001;ООО «Северный Ветер»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Полный
TAX-NDFL-P1;CL-001;ООО «Северный Ветер»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SV-P;CL-001;ООО «Северный Ветер»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Полный
HR-10;CL-004;ООО «ТехСервис Плюс»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Полный
PAY-20;CL-004;ООО «ТехСервис Плюс»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Полный
PAY-30;CL-004;ООО «ТехСервис Плюс»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-NDFL-N2;CL-004;ООО «ТехСервис Плюс»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
TAX-NDFL-P2;CL-004;ООО «ТехСервис Плюс»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SFR-P;CL-004;ООО «ТехСервис Плюс»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Полный
PAY-10;CL-004;ООО «ТехСервис Плюс»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Полный
REP-6NDFL;CL-004;ООО «ТехСервис Плюс»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Полный
REP-RSV;CL-004;ООО «ТехСервис Плюс»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Полный
REP-EFS2;CL-004;ООО «ТехСервис Плюс»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Полный
HR-30;CL-004;ООО «ТехСервис Плюс»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Полный
TAX-NDFL-N1;CL-004;ООО «ТехСервис Плюс»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
HR-20;CL-004;ООО «ТехСервис Плюс»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Полный
TAX-NDFL-P1;CL-004;ООО «ТехСервис Плюс»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SV-P;CL-004;ООО «ТехСервис Плюс»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Полный
HR-10;CL-002;ООО «Уютный Дом»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Стандарт
PAY-20;CL-002;ООО «Уютный Дом»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Стандарт
PAY-30;CL-002;ООО «Уютный Дом»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Стандарт
TAX-NDFL-N2;CL-002;ООО «Уютный Дом»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
TAX-NDFL-P2;CL-002;ООО «Уютный Дом»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SFR-P;CL-002;ООО «Уютный Дом»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Стандарт
PAY-10;CL-002;ООО «Уютный Дом»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Стандарт
REP-6NDFL;CL-002;ООО «Уютный Дом»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Стандарт
REP-RSV;CL-002;ООО «Уютный Дом»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Стандарт
REP-EFS2;CL-002;ООО «Уютный Дом»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Стандарт
HR-30;CL-002;ООО «Уютный Дом»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Стандарт
TAX-NDFL-N1;CL-002;ООО «Уютный Дом»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
HR-20;CL-002;ООО «Уютный Дом»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Стандарт
TAX-NDFL-P1;CL-002;ООО «Уютный Дом»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SV-P;CL-002;ООО «Уютный Дом»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Стандарт
QC-10;CL-003;ИП Кузнецов Д.А.;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Базовый
INT-30;CL-003;ИП Кузнецов Д.А.;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Базовый
QC-10;CL-005;ИП Морозова Е.В.;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Стандарт
INT-30;CL-005;ИП Морозова Е.В.;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Стандарт
QC-10;CL-008;ИП Новиков С.С.;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Стандарт
INT-30;CL-008;ИП Новиков С.С.;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Стандарт
QC-10;CL-007;ООО «Бар Панорама»;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Полный
INT-30;CL-007;ООО «Бар Панорама»;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Полный
QC-10;CL-006;ООО «Гранд Логистика»;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Полный
INT-30;CL-006;ООО «Гранд Логистика»;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Полный
QC-10;CL-010;ООО «Импорт Трейд»;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Полный
INT-30;CL-010;ООО «Импорт Трейд»;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Полный
QC-10;CL-009;ООО «МедиаЛаб»;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Стандарт
INT-30;CL-009;ООО «МедиаЛаб»;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Стандарт
QC-10;CL-001;ООО «Северный Ветер»;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Полный
INT-30;CL-001;ООО «Северный Ветер»;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Полный
QC-10;CL-004;ООО «ТехСервис Плюс»;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Полный
INT-30;CL-004;ООО «ТехСервис Плюс»;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Полный
QC-10;CL-002;ООО «Уютный Дом»;Выборочный контроль качества учёта по клиенту;Контроль;сентябрь 2026;CHIEF;Смирнова О.В.;2026-10-19;2026-10-22;;A;45;checklists/qc.md;Регламент агентства;Стандарт
INT-30;CL-002;ООО «Уютный Дом»;Планирование и распределение задач на следующий месяц;Внутренние;октябрь 2026;HEAD;Смирнова О.В.;2026-10-20;2026-10-23;;A;60;checklists/planning.md;Регламент агентства;Стандарт
DOC-10;CL-005;ИП Морозова Е.В.;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-10;CL-005;ИП Морозова Е.В.;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
DOC-20;CL-005;ИП Морозова Е.В.;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Стандарт
DOC-40;CL-005;ИП Морозова Е.В.;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-20;CL-005;ИП Морозова Е.В.;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
ACC-30;CL-005;ИП Морозова Е.В.;Проверка кассовой дисциплины и сверка с ОФД;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-07;2026-10-12;;A;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;Стандарт
DOC-30;CL-005;ИП Морозова Е.В.;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Стандарт
ACC-50;CL-005;ИП Морозова Е.В.;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Стандарт
ACC-70;CL-005;ИП Морозова Е.В.;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Соколов П.Р.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Стандарт
ACC-60;CL-005;ИП Морозова Е.В.;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Стандарт
CLI-10;CL-005;ИП Морозова Е.В.;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Стандарт
REP-KUDIR;CL-005;ИП Морозова Е.В.;Актуализация и проверка КУДиР;Учёт;III квартал 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;B;45;;Приказ ФНС ЕД-7-3/816;Стандарт
REP-STAT;CL-005;ИП Морозова Е.В.;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Стандарт
TAX-PATENT;CL-005;ИП Морозова Е.В.;Контроль сроков и оплата патента;Налоги;октябрь 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;A;20;;НК РФ ст. 346.51;Стандарт
ACC-90;CL-005;ИП Морозова Е.В.;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Соколов П.Р.;2026-10-16;2026-10-21;2026-10-26;B;60;;ПП РФ 1108;Стандарт
CLI-30;CL-005;ИП Морозова Е.В.;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-19;2026-10-22;;B;20;;Договор;Стандарт
DOC-50;CL-005;ИП Морозова Е.В.;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Стандарт
QC-20;CL-005;ИП Морозова Е.В.;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Соколов П.Р.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Стандарт
DOC-10;CL-006;ООО «Гранд Логистика»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-10;CL-006;ООО «Гранд Логистика»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-20;CL-006;ООО «Гранд Логистика»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Полный
DOC-40;CL-006;ООО «Гранд Логистика»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-20;CL-006;ООО «Гранд Логистика»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-30;CL-006;ООО «Гранд Логистика»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Полный
ACC-50;CL-006;ООО «Гранд Логистика»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Полный
NDS-10;CL-006;ООО «Гранд Логистика»;Сверка книг покупок и продаж, контроль разрывов по НДС;Налоги;III квартал 2026;ACCT;Соколов П.Р.;2026-10-12;2026-10-15;;A;120;checklists/nds.md;НК РФ гл. 21;Полный
ACC-70;CL-006;ООО «Гранд Логистика»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Соколов П.Р.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Полный
REP-NDS;CL-006;ООО «Гранд Логистика»;Декларация по НДС за III квартал 2026;Отчётность;III квартал 2026;ACCT;Соколов П.Р.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/nds.md;НК РФ ст. 174;Полный
REP-PRIB;CL-006;ООО «Гранд Логистика»;Декларация по налогу на прибыль за 9 месяцев 2026;Отчётность;9 месяцев 2026;ACCT;Соколов П.Р.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/reporting.md;НК РФ ст. 289;Полный
ACC-60;CL-006;ООО «Гранд Логистика»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Полный
CLI-10;CL-006;ООО «Гранд Логистика»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Полный
REP-STAT;CL-006;ООО «Гранд Логистика»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Соколов П.Р.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Полный
TAX-PROP-N;CL-006;ООО «Гранд Логистика»;Уведомление и уплата авансов по имущественным налогам за III квартал 2026;Налоги;III квартал 2026;ACCT;Соколов П.Р.;2026-10-16;2026-10-21;2026-10-26;B;45;;НК РФ ст. 383, 397, 363;Полный
CLI-30;CL-006;ООО «Гранд Логистика»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-19;2026-10-22;;B;20;;Договор;Полный
DOC-50;CL-006;ООО «Гранд Логистика»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Полный
TAX-NDS-P;CL-006;ООО «Гранд Логистика»;Уплата 1/3 НДС за III квартал 2026;Налоги;III квартал 2026;ACCT;Соколов П.Р.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/nds.md;НК РФ ст. 174 п. 1;Полный
TAX-PRIB-P;CL-006;ООО «Гранд Логистика»;Уплата налога на прибыль за 9 месяцев 2026;Налоги;9 месяцев 2026;ACCT;Соколов П.Р.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 287;Полный
QC-20;CL-006;ООО «Гранд Логистика»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Соколов П.Р.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Полный
DOC-10;CL-004;ООО «ТехСервис Плюс»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-10;CL-004;ООО «ТехСервис Плюс»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Соколов П.Р.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-20;CL-004;ООО «ТехСервис Плюс»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Полный
DOC-40;CL-004;ООО «ТехСервис Плюс»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Соколов П.Р.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Полный
